"os","device_type","device_score","device_cpu"," Native视频发流切片时长 "
"Android","v2344",72,"ums9230_6h10",121304.733333
"Android","2311drk48g",79,,121053.483333
"Android","cph2527",83,"qualcomm 695",121035.183333
"Android","23124ra7eo",89,,120929.316667
"Android","sm-a035m",74,"unisoc t616",120888.666667
"Android","cph2083",73,"MT6765V/CB, mt6765",120814.55
"Android","moto g96 5g",85,"qualcomm 7s Gen 2",120774.1
"Android","dn2101",86,"mediatek 1300",120747.933333
"Android","v2254",73,"MT6765V/CB, mt6765",120564.716667
"Android","infinix x6531",69,,120479.733333
"Android","cph2455",83,"qualcomm 695",120079.433333
"Android","sm-g780g",89,"qualcomm 865",120045.533333
"Android","rmx2195",80,"qualcomm technologies, inc sdm460 qcom",119796.966667
"Android","24117rn76o",75,,119721.3
"Android","v2312",77,"mediatek 6020",119378.116667
"Android","sm-a037f",73,,119369.45
"Android","rmx2195",82,"Qualcomm Technologies, Inc SDM460, qcom",119202.783333
"Android","sm-a226b",77,"mediatek 810",119164
"Android","rmx3201",75,"helio p35",118893.683333
"Android","22101317c",81,"qualcomm 4 Gen 1",118830.2
"Android","itel a667lp",71,"unisoc t603",118738.566667
"Android","cph2095",79,"qualcomm 662",118548.8
"Android","gfy-lx3",74,"helio p35",118542.533333
"Android","sm-g991n",88,"samsung exynos 2100  exynos2100",118483.266667
"Android","sm-a057f",86,,118397.883333
"Android","v2207",75,"helio p65",118254.55
"Android","sm-a145f",65,,118192.45
"Android","cph2773",79,"qualcomm 662",118148.083333
"Android","v2419",73,"unisoc t612",118076.966667
"Android","sm-s918u",95,"qualcomm 8 Gen 2",117996
"Android","v2029",85,,117857.983333
"Android","2312crnccl",73,,117742.316667
"Android","gfy-lx3",73,,117625.616667
"Android","m2101k6g",89,,117442.783333
"Android","primo s7 pro",75,"MT6771V/CT, mt6771",117344.233333
"Android","2404arn45a",75,"mt6768",117277.783333
"Android","rmx3710",72,"MT6769H, mt6768",117153.766667
"Android","infinix x6516",67,"unisoc sc9863a",117119.1
"Android","tecno bf7",67,"MT6761V/WBB, mt6761",117092.85
"Android","23028ra60l",80,"qualcomm 680",117077.583333
"Android","redmi note 9 pro max",83,"qualcomm 720g",116979.55
"Android","tecno ck6n",75,"helio p65",116623.666667
"Android","sm-a256e",71,,116272.116667
"Android","cph2619",89,", qcom",116217.766667
"Android","sm-a235m",82,"qualcomm 680",116174.183333
"MAC","MacBookAir10,1",-1,,116053.716667
"Android","24090ra29i",82,"mediatek mt6878  mt6878",115889.783333
"Android","infinix x665e",73,"helio g25",115785.683333
"Android","v2404",88,"qualcomm 7 Gen 3",115650.566667
"Android","v2333",74,"helio p65",115645.15
"Android","24048rn6cg",71,"unisoc t603",115564.3
"Android","sm-a045f",73,,115551.5
"Android","24040rn64y",72,,115400.766667
"Android","tecno kl4h",74,"helio p35",115375.983333
"Android","sm-a146u",77,"mediatek 6020",115289.266667
"Android","23053rn02i",72,", mt6768",115247.05
"Android","sm-a156m",81,"mediatek mt6835  mt6835",115237.016667
"iOS","iPhone10,6",86,,115202.466667
"Android","21091116ai",80,"mediatek 6020",115191.766667
"Android","sm-f731n",95,"qualcomm 8 Gen 2",115150.583333
"Android","2209116ag",89,,114857.316667
"Android","redmi note 8 pro",75,,114626.783333
"Android","cph2727",80,"qualcomm 662",114550.95
"Android","sm-a266m",84,"exynos 1280",114521.683333
"Android","v2109",72,"MT6769V/CU, mt6768",114484.566667
"Android","moto g45 5g",89,"null, qcom",114390.383333
"Android","motorola edge 50 fusion",83,"qualcomm 6 Gen 1",114204.25
"Android","cph2639",81,"mediatek mt6835  mt6835",114149.95
"Android","tecno kg5j",62,,114078.033333
"Android","sm-a135f",77,"Samsung A13 EUR OPEN REV02B board based on EXYNOS850, exynos850",113844.633333
"Android","22120rn86g",69,,113837.666667
"Android","cph2375",83,"qualcomm 680",113531.9
"Android","24066pc95i",83,"qualcomm 4 Gen 2",113507.816667
"Android","infinix x6871",87,"mediatek 8200",113480.55
"Android","rmx3933",68,,113422.233333
"Android","sm-s911u",95,"qualcomm 8 Gen 2",113321.25
"Android","sm-s721w",95,"exynos 2400",113306.35
"Android","sm-a146b",71,", s5e8535",113239.566667
"Android","v2520",74,"unisoc t612",112688
"Android","v2037",72,"MT6769V/CU, mt6768",112399.066667
"Android","sm-a125f",73,,112119.85
"Android","22101316g",75,,111888.466667
"Android","vivo 1935",84,"qualcomm technologies, inc trinket qcom",111849.316667
"Android","v2507",74,"ums9230_6h10",111770.133333
"Android","v2206",83,"qualcomm 680",111761.433333
"Android","i2403",82,"mediatek mt6878  mt6878",111747.416667
"Android","cph2725",86,", qcom",111621.9
"Android","infinix x669c",73,"MT6765H, mt6765",111494.866667
"Android","2201117sg",77,"helio g96",111432.133333
"Android","cph2119",77,"helio p90",111264.883333
"iOS","iPhone12,5",-1,,111148.666667
"Android","sm-s928b",93,", qcom",111123.433333
"Android","v2236",73,,111114.716667
"Android","v2238",74,"helio p65",110960.516667
"Android","22111317i",81,"qualcomm 4 Gen 1",110887.583333
"Android","v2059",77,"helio g90t",110798.066667
"Android","dub-lx1",74,"qualcomm 450",110566.016667
"Android","itel s665l",69,"Unisoc T606",110319.433333
"Android","infinix x6850",78,"helio g99",110230.966667
"Android","25028rn03y",76,"spreadtrum ums9230e  serenity",110108.283333
"Android","redmi 8",82,"Qualcomm 439",109959.616667
"Android","v2202",80,"mediatek 1080",109837.833333
"Android","2411drn47i",83,"qualcomm 4 Gen 2",109787.6
"Android","2201116si",83,"qualcomm 695",109764.15
"Android","rmx3231",60,,109556.516667
"Android","rmx3521",83,"qualcomm 680",109548.616667
"Android","rmx2189",75,"helio p35",109387.216667
"Android","pixel 9a",84,"google tensor g4  tegu",108998.433333
"Android","cph2481",75,,108889.983333
"Android","23053rn02a",72,", mt6768",108818.333333
"Android","vivo 1906",81,"Qualcomm 439",108564.583333
"Android","sm-a235f",82,"qualcomm 680",108359.266667
"Android","v2351",79,"mediatek mt6835  mt6835",108274.016667
"Android","redmi k20 pro",88,"qualcomm 855",108191.75
"iOS","iPad8,9",88,,108041.2
"Android","v2307",85,"Qualcomm 695",108037.766667
"Android","cph2285",77,"helio p90",108028.283333
"Android","2201117tg",89,,107980.166667
"Android","v2110",74,"helio p65",107826.95
"Android","sm-f741n",96,"qualcomm 8 Gen 3",107744.4
"Android","sm-a346e",75,", mt6877",107635.816667
"Android","v2254",75,"helio p35",107561.466667
"Android","sm-a145m",65,,107525.066667
"Android","22120rn86g",72,"MT6769V/CZ, mt6768",107358.133333
"Android","v2534",82,"mediatek mt6878  mt6878",107285.65
"Android","sm-a217m",81,"samsung exynos 850  exynos850",107235.916667
"Android","2312dra50g",89,,107188.4
"Android","v2050",77,"mediatek 800u",106772.25
"Android","sm-m315f",84,", exynos9611",106742.116667
"Android","23053rn02l",75,"helio p65",106564.616667
"Android","sm-e556b",85,"qualcomm 7 gen 1",106557.55
"Android","cph2365",79,"qualcomm 662",106056.616667
"Android","23027rad4i",81,"qualcomm 680",106038.35
"Android","21121119sg",75,"helio p65",106020.133333
"Android","rmx2020",74,"helio p65",105886.366667
"Android","sm-s908b",90,"exynos 2200",105715.966667
"Android","v2249",72,,105439.6
"Android","25078ra3ea",74,"helio p65",105389.85
"Android","v2102",81,"Qualcomm 439",105363.916667
"Android","cph2185",73,"helio p35",105344
"Android","sm-x216b",83,"qualcomm 695",105186.216667
"Android","motorola edge 40",83,"mediatek 8020",105181.05
"Android","cph2239",75,,104982.983333
"Android","alt-lx3",81,"qualcomm 680",104968.866667
"Android","24049rn28l",75,"helio p65",104881.366667
"Android","2312dra50i",85,"qualcomm 7s Gen 2",104579.583333
"Android","infinix x6816c",73,"unisoc t610",104499.733333
"Android","infinix x657c",62,,104435.216667
"Android","23128pc33i",78,"mediatek mt6835  mt6835",104311.8
"Android","i2219",83,"qualcomm 6 Gen 1",104268.4
"Android","2409brn2cy",72,,104230.066667
"Android","rmx3231",80,"octa core rmx3231",104171.616667
"Android","cph2569",89,"Qualcomm Technologies, Inc SDM782G, qcom",104168.75
"Android","cph2641",82,"qcom",104086.016667
"Android","sm-a315g",74,"helio p65",103999.633333
"Android","sm-a055m",69,,103964.6
"Android","cph2481",78,"helio g99",103911.966667
"Android","sm-a047f",77,"null, exynos850",103692
"Android","itel s665l",72,"Unisoc T606",103677.816667
"Android","v2234",73,"MT6765V/CB, mt6765",103337.283333
"Android","2310fpca4g",75,"helio p65",103238.45
"Android","cph2235",83,"qualcomm 720g",103013.833333
"Android","sm-m356b",71,", s5e8835",102978.483333
"Android","le2101",89,"qualcomm 865",102909.833333
"Android","220233l2i",73,"helio g25",102630.65
"Android","itel a6610l",65,,102576.033333
"Android","jdy-lx3p",75,"helio p65",102574.583333
"Android","v2407",79,"mediatek mt6835  mt6835",102488.55
"Android","cph2159",89,,102420.05
"Android","v2310",75,"mt6768",102414.05
"Android","v2149",70,"helio a25",102292.916667
"Android","rmo-nx1",83,"qualcomm 695",102218.7
"Android","t434d",74,"helio p35",101964.583333
"Android","v2253",78,"mediatek 6020",101828.583333
"Android","220233l2g",69,"MT6762G, mt6762",101663.616667
"Android","sm-a066b",79,"mediatek mt6835  mt6835",101607.116667
"Android","v2126",80,"mediatek 810",101501.9
"Android","scg33",78,"mediatek mt6835  mt6835",101412.316667
"Android","v2222",83,"qualcomm 695",101405.183333
"Android","vivo 1901",69,,101365.916667
"Android","moto g power (2022)",75,"helio p35",101212.966667
"Android","cph1923",64,,101072.816667
"Android","cph2711",89,", qcom",101028.566667
"Android","24117rn76l",75,,101015.533333
"Android","tecno km6",78,"helio g99",101011.2
"Android","cph2495",75,", mt6833",100997.833333
"Android","v2055",76,"mediatek 700",100924.183333
"Android","sm-a245f",75,,100824.55
"Android","cph2349",75,"helio p35",100794.2
"Android","cph2447",94,"qualcomm 8 Gen 2",100708.666667
"Android","cph2473",89,"Qualcomm 680",100592.916667
"iOS","iPhone18,1",66,,100536.066667
"Android","cph2665",75,", mt6835",100413.35
"Android","v2240",83,"qualcomm 695",100352.316667
"Android","v2312",75,"MT6833, mt6833",100260.916667
"Android","cph2159",83,"qualcomm 720g",100133.033333
"Android","m2003j15sc",69,,100059.7
"Android","v2344",65,,99817.45
"Android","v2503",92,"mediatek 9300",99740.433333
"Android","rmo-nx3",83,"qualcomm 695",99724.4
"Android","rmx3941",72,", mt6768",99714.55
"Android","v2441",81,"qualcomm 680",99617.483333
"Android","infinix x6528",72,"Unisoc T606",99574.85
"Android","infinix x669c",75,"helio p35",99491.783333
"Android","moto g(9) play",81,"qualcomm technologies, inc bengal qcom",99472.483333
"Android","m2101k7bi",75,"MT6785V/CD, mt6785",99440.8
"Android","moto g04s",65,,99198.633333
"Android","moto g(30)",78,"qualcomm 662",99185.05
"Android","rmx3491",83,"qualcomm 680",99179.416667
"Android","v2231",84,"mediatek 7200",99023.033333
"Android","infinix x6880",75,,98992.716667
"Android","sm-g781v",89,"qualcomm 865",98858.416667
"Android","pixel 7a",83,"google gs201  lynx",98708.8
"Android","23129raa4g",87,"qcom",98503.233333
"Android","v2228",80,"mediatek 1080",98291.65
"Android","220333ql",86,,98185.05
"Android","v2322",89,,98007.483333
"Android","cph2239",75,"MT6765G, mt6765",97964.25
"Android","cph2461",83,"qualcomm 680",97874.966667
"Android","vivo 1938",75,"helio p35",97843.35
"Android","sm-a135m",77,,97800.066667
"Android","tecno kl6",75,"helio p65",97470.016667
"Android","sm-a042f",73,"MT6765V/CB, mt6765",97438.266667
"Android","v2531",65,,97413.383333
"Android","m2007j20cg",89,,97353.583333
"Android","21121119sg",69,"MT6769H, mt6768",97098.316667
"Android","sm-a245m",77,"helio g99",96992.266667
"Android","m2006c3li",71,"helio g25",96855
"Android","sm-a042m",75,"helio p35",96738.866667
"Android","24094rad4i",75,", mt6855",96717.683333
"Android","infinix x6833b",75,", mt6789",96419.45
"Android","rmx3630",78,"helio g99",96336.433333
"Android","sm-a207f",74,"qualcomm 450",96241.116667
"Android","25028rn03a",68,", serenity",96234.616667
"Android","23090ra98g",75,,96205.116667
"Android","25078ra3ea",72,", mt6768",96124.966667
"Android","rmx3939",68,", ums9230_latte",95847.516667
"Android","23106rn0da",72,", mt6768",95838.216667
"Android","23028rn4dg",73,,95772.233333
"Android","sm-a346e",75,,95661.25
"Android","dny-nx9",88,"qualcomm 7 Gen 3",95641.916667
"Android","sm-a047f",77,,95616.533333
"Android","cph2625",82,"mediatek mt6878  mt6878",95369.833333
"Android","cph2375",89,,95330.3
"Android","cph2113",89,,95255.433333
"Android","infinix x6837",75,,95253.416667
"Android","sm-g998b",88,"samsung exynos 2100  exynos2100",95201.916667
"Android","22101320g",85,"qualcomm 778g",95149.633333
"Android","sm-a165f",73,,95138.15
"Android","rmx3840",85,"qualcomm 7s Gen 2",95045.766667
"Android","sm-a145r",74,"helio p65",95024.666667
"Android","lly-lx3",83,"qualcomm 680",94928.2
"Android","tecno kg5k",65,,94801.45
"Android","v2315",75,"mediatek 700",94778.383333
"Android","sm-a546e",71,", s5e8835",94747.183333
"Android","infinix x6855",75,,94740.966667
"Android","2201117tl",82,"qualcomm 680",94740.083333
"Android","24117rn76g",76,"mt6789",94624.583333
"Android","v2333",75,"mt6768",94584.483333
"Android","sm-a217f",77,", exynos850",94481.683333
"Android","rmx3933",72,"ums9230_latte",94479.433333
"Android","23021raaeg",89,", qcom",94449.733333
"Android","v2207",69,,94444.55
"Android","v2037",74,"helio p65",94353.616667
"Android","cph2643",75,", mt6877",94185.65
"Android","redmi note 7",86,"Qualcomm 660",94088.116667
"Android","v2419",68,,93950.666667
"Android","v2520",68,", ums9230_6h10",93774.983333
"Android","rmx2185",73,"helio p35",93772.033333
"Android","cph2661",90,"qualcomm 7+ Gen 3",93681.433333
"Android","v2037",75,"helio p65",93654.816667
"Android","redmi note 9 pro",89,,93648.116667
"Android","23028rncag",74,"helio p35",93638.75
"Android","cph1911",75,"helio p60",93584.933333
"Android","v2027",82,,93521.05
"Android","tecno kj7",78,"helio g99",93487.65
"Android","v2333",69,,93355.183333
"Android","tb305fu",77,"mediatek mt8786v/n  mt8786",93320.483333
"Android","24116raccg",75,"null, mt6789",93261.3
"Android","infinix x665b",69,"helio a20",93147.85
"Android","alt-lx2",81,"qualcomm 680",93091.3
"Android","sm-a146m",83,"exynos 1330",93070.933333
"Android","eb2101",82,"qualcomm 750g",93002.55
"Android","infinix x6851",82,"mediatek 7020",92870.85
"Android","cph2667",75,"null, mt6835",92557.1
"Android","sm-a366b",86,"qti sm6475  qcom",92470.783333
"Android","vivo 1938",73,"MT6765V/CB, mt6765",92248.466667
"iOS","iPhone10,4",86,,92237.2
"Android","tecno km4k",74,"helio p65",92170.5
"Android","sm-a346e",82,"mediatek 1080",92170.316667
"Android","cph2711",89,,91901.316667
"iOS","iPhone16,1",66,,91880.083333
"Android","2411drn47i",89,", qcom",91641.166667
"Android","rmx3999",81,"mediatek mt6835  mt6835",91605.966667
"Android","rmx2185",68,"MT6765G, mt6765",91559.366667
"Android","sm-a145p",74,"helio p65",91527.3
"Android","sm-s936n",94,"qti sm8750  qcom",91471.9
"Android","v2347",90,"mediatek 9200",91456.333333
"Android","sm-x115",77,"helio g99",91439.316667
"Android","itel c671l",79,"spreadtrum ums9230e  ums9230_c671l",91316.666667
"Android","redmi note 7 pro",80,"qualcomm 675",91207.116667
"Android","sm-a356b",85,"exynos 1380",90863.316667
"Android","sm-m515f",82,"qualcomm 730",90847.183333
"Android","tecno kj5",80,"mediatek mt6769 mt6769 mt6769",90629.366667
"Android","v2338",89,", qcom",90520.65
"Android","2312draabg",80,"mediatek 6020",90437.066667
"Android","sm-e236b",82,"qualcomm 750g",90328.7
"Android","moto g24",69,,90318.15
"Android","cph2613",89,", qcom",90232.783333
"Android","sm-m017f",69,"MT6762V/WB, mt6762",90227.05
"Android","sm-m127g",84,"samsung exynos 850  exynos850",90225.2
"Android","sm-a256b",84,"exynos 1280",90020.05
"Android","24044rn32l",65,,89866.15
"Android","rmx3997",75,", mt6835",89540.666667
